epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.012,1.32316,1.98323,1.28178,0.83278,0.84026,0.91911,0.5578,1.22041,1.28526,1.2618,0.00066343,0.00066343,0.00066343
2,198.129,1.28067,1.27366,1.25195,0.91844,0.93291,0.97231,0.62809,1.21453,0.89614,1.1784,0.00130376,0.00130376,0.00130376
3,287.237,1.26943,1.09746,1.24643,0.96315,0.91054,0.97489,0.6647,1.18855,0.85382,1.14155,0.00191769,0.00191769,0.00191769
4,381.39,1.24865,1.04018,1.2435,0.92696,0.97125,0.97804,0.68186,1.0826,0.81635,1.12557,0.0018812,0.0018812,0.0018812
5,472.742,1.2024,0.99235,1.21326,0.90571,0.94249,0.9632,0.69436,1.04616,0.79817,1.09304,0.0018416,0.0018416,0.0018416
6,567.897,1.17218,0.91786,1.2015,0.92271,0.96805,0.97821,0.62885,1.20962,0.78787,1.26611,0.001802,0.001802,0.001802
7,658.773,1.16902,0.90526,1.20542,0.98791,0.98403,0.99437,0.71412,1.0186,0.59836,1.10907,0.0017624,0.0017624,0.0017624
8,750.484,1.12029,0.86122,1.17081,0.97759,0.9755,0.99087,0.72033,0.99428,0.64298,1.05977,0.0017228,0.0017228,0.0017228
9,844.065,1.0857,0.80512,1.15489,0.98187,0.98403,0.99391,0.73232,0.96725,0.59757,1.0913,0.0016832,0.0016832,0.0016832
10,934.542,1.08959,0.80265,1.15637,0.9692,0.98403,0.99123,0.73685,0.92234,0.56033,1.03291,0.0016436,0.0016436,0.0016436
11,1030.96,1.08471,0.79097,1.15572,0.98348,0.99681,0.99338,0.75449,0.94623,0.53543,1.07517,0.001604,0.001604,0.001604
12,1120.57,1.06007,0.74298,1.15617,0.97324,0.98722,0.99329,0.77175,0.89489,0.51435,1.02183,0.0015644,0.0015644,0.0015644
13,1211.35,1.05682,0.76209,1.13843,0.97811,0.99909,0.9922,0.75223,0.92087,0.50462,1.02886,0.0015248,0.0015248,0.0015248
14,1305.67,1.03497,0.73587,1.13313,0.97115,0.99042,0.99416,0.73689,0.93233,0.54913,1.03688,0.0014852,0.0014852,0.0014852
15,1394.42,1.01087,0.71656,1.1254,0.98801,0.98403,0.99411,0.79272,0.8071,0.48846,1.00829,0.0014456,0.0014456,0.0014456
16,1486.11,1.01565,0.7214,1.12975,0.97797,0.99286,0.994,0.78057,0.83196,0.47924,1.01188,0.001406,0.001406,0.001406
17,1578.25,1.01861,0.70275,1.13979,0.96565,0.99042,0.98806,0.78128,0.81301,0.4892,0.98329,0.0013664,0.0013664,0.0013664
18,1668.3,0.99121,0.69339,1.11042,0.98759,0.99361,0.9949,0.77496,0.84146,0.49917,1.02487,0.0013268,0.0013268,0.0013268
19,1760,0.9827,0.67877,1.11554,0.98722,0.98707,0.99487,0.79036,0.80341,0.46476,0.99385,0.0012872,0.0012872,0.0012872
20,1855.73,0.97209,0.67299,1.1008,0.99521,0.99361,0.99455,0.79323,0.82883,0.44042,0.97539,0.0012476,0.0012476,0.0012476
21,1946.61,0.9648,0.64131,1.10125,0.99363,0.9962,0.99494,0.80509,0.77928,0.44122,0.98233,0.001208,0.001208,0.001208
22,2039.69,0.94503,0.62334,1.09115,0.99427,0.99361,0.99487,0.79322,0.79461,0.44183,0.97509,0.0011684,0.0011684,0.0011684
23,2132.68,0.94006,0.62402,1.09278,0.99653,0.99042,0.995,0.78593,0.78937,0.43253,0.96414,0.0011288,0.0011288,0.0011288
